City,State,Pop1950,Pop1960,Pop1970,Pop1980,Pop1990,Pop2000,Pop2010,latitude,longitude
St Louis,Missouri,856796,750026,622236,452801,396685,348189,319294,38.6277504,-90.1995621
Detroit,Michigan,1849568,1670144,1514063,1203368,1027974,951270,713777,42.3316803,-83.0479965
Flint,Michigan,163143,196940,193317,159611,140761,124943,102434,43.0114403,-83.6867905
Cincinnati,Ohio,503998,502550,452524,385460,364040,331285,296945,39.1071281,-84.5041275
Cleveland,Ohio,914808,876050,750903,573822,505616,478403,396815,41.5047493,-81.6907196
Pittsburgh,Pennsylvania,676806,604332,520117,423938,369879,334563,305704,40.4383392,-79.997467
Dayton,Ohio,243872,262332,243601,193536,182044,166179,141527,39.7591095,-84.1944427
Buffalo,New York,580132,532759,462768,357870,328123,292648,261310,42.8854408,-78.8784637
Niagara Falls,New York,90872,102394,85615,71384,61840,55593,50193,43.0954819,-79.0558167
Gary,Indiana,133911,178320,175415,151968,116646,102746,89294,41.6037102,-87.3371735
Houston,Texas,596163,938219,1232802,1595138,1630553,1953631,2100263,29.7604504,-95.3697815
Austin,Texas,132459,186545,251808,345890,465622,656562,790390,30.2675896,-97.7429886
Dallas,Texas,434462,679684,844401,904078,1006977,1188580,1197816,32.7781487,-96.7954025
Raleigh,North Carolina,65679,93931,121577,150255,212092,276093,403892,35.785511,-78.6426697
Phoenix,Arizona,106818,439170,581562,789704,983403,1321045,1445632,33.4482498,-112.075798
Charlotte,North Carolina,134042,201564,241178,315474,395934,540828,731424,35.2228584,-80.8379593
San Antonio,Texas,408442,587718,654153,785940,935933,1144646,1327407,29.4245796,-98.4946136
San Diego,California,334387,573224,696769,875538,1110549,1223400,1307402,32.7156906,-117.1617203
San Jose,California,95280,204196,445779,629400,782248,894943,945942,37.3385811,-121.8855667
Las Vegas,Nevada,24624,64405,125787,164674,258295,478434,583756,36.1719093,-115.1399689
